Observer,First_Participation,Year_of_first_training,Training_Type,Data_entry_notes
A8,2013,2016,Traditional,"HRL lab, unsure if same Alex Wall in 2013 and 2016 (intern 2016 and completed hike with Janneke HRL 2013)"
A3,2013,2013,Traditional,NA
A2,2013,2013,Traditional,NA
A1,2013,NA,NA,NA
B2,2013,2013,Traditional,NA
B1,2013,2013,Traditional,NA
C16,2013,NA,NA,NA
C2,2013,2013,Traditional,NA
C1,2013,2013,Traditional,NA
C3,2013,2013,Traditional,NA
C15,2013,2013,Traditional,HRL lab
D5,2013,2013,Traditional,NA
D2,2013,2013,Traditional,NA
D1,2013,2013,Traditional,NA
D3,2013,2013,Traditional,NA
D4,2013,2013,Traditional,NA
D6,2013,2013,Traditional,NA
E1,2013,NA,NA,NA
F7,2013,NA,NA,NA
G1,2013,2013,Traditional,NA
J45,2013,NA,NA,NA
J8,2013,2013,Traditional,NA
J3,2013,2013,Traditional,NA
J9,2013,2013,Traditional,NA
J1,2013,2013,Traditional,HRL lab
J7,2013,2013,Traditional,NA
J14,2013,2013,Traditional,NA
J4,2013,2013,Traditional,NA
J5,2013,2015,Traditional,"2016 orientation says returning volunteer, so assume trained at least year before?"
J6,2013,2013,Traditional,NA
J2,2013,2013,Traditional,NA
K1,2013,2013,Traditional,NA
K20,2013,NA,NA,NA
K19,2013,2015,Traditional,"2016 orientation says returning volunteer, so assume trained at least year before?"
L2,2013,2013,Traditional,NA
L12,2013,2013,Traditional,NA
L21,2013,NA,NA,NA
L1,2013,2013,Traditional,NA
M1,2013,2013,Traditional,NA
M4,2013,2013,Traditional,NA
M2,2013,2013,Traditional,NA
M3,2013,2013,Traditional,NA
P1,2013,NA,NA,NA
R3,2013,2013,Traditional,NA
R4,2013,2013,Traditional,NA
R2,2013,2013,Traditional,NA
R1,2013,2013,Traditional,NA
R14,2013,2013,Traditional,NA
S3,2013,2013,Traditional,NA
S1,2013,2013,Traditional,NA
S2,2013,2013,Traditional,NA
T1,2013,2013,Traditional,NA
T2,2013,2013,Traditional,NA
V2,2013,2013,Traditional,NA
V1,2013,2013,Traditional,NA
W1,2013,2013,Traditional,NA
Y1,2013,2013,Traditional,NA
A4,2014,2014,Traditional,NA
A5,2014,2014,Traditional,NA
B4,2014,2014,Traditional,NA
B3,2014,2014,Traditional,NA
B5,2014,2014,Traditional,NA
C5,2014,2014,Traditional,NA
C4,2014,2014,Traditional,NA
C17,2014,NA,NA,NA
D7,2014,2014,Traditional,NA
J10,2014,2014,Traditional,HRL lab
J13,2014,2014,Traditional,NA
J12,2014,2014,Traditional,NA
J11,2014,2014,Traditional,NA
K4,2014,NA,NA,registered in 2017 but no record of orientation
K2,2014,2014,Traditional,NA
K3,2014,2014,Traditional,NA
L3,2014,2014,Traditional,NA
L5,2014,2014,Traditional,NA
L4,2014,2014,Traditional,NA
N1,2014,2014,Traditional,NA
P10,2014,2014,Traditional,NA
R5,2014,2014,Traditional,NA
R15,2014,NA,NA,NA
R6,2014,2014,Traditional,NA
S5,2014,2014,Traditional,NA
S7,2014,2014,Traditional,NA
S4,2014,2014,Traditional,NA
S6,2014,2014,Traditional,NA
T3,2014,2013,Traditional,NA
V3,2014,2014,Traditional,NA
A6,2015,2015,Traditional,NA
A7,2015,2015,Traditional,HRL lab
B7,2015,2016,Traditional,NA
B20,2015,2015,Traditional,NA
B6,2015,2015,Traditional,NA
C7,2015,2015,Traditional,NA
C6,2015,2015,Traditional,HRL lab
D8,2015,2015,Traditional,NA
D9,2015,2015,Traditional,NA
D20,2015,2015,Traditional,HRL lab
D21,2015,NA,NA,NA
E2,2015,2015,Traditional,NA
E3,2015,2015,Traditional,HRL lab
F2,2015,2015,Traditional,NA
F3,2015,2016,Traditional,NA
F1,2014,2014,Traditional,NA
G6,2015,NA,NA,NA
G10,2015,NA,NA,NA
H1,2015,NA,NA,NA
J16,2015,2015,Traditional,NA
J46,2015,2015,Traditional,NA
J15,2015,2015,Traditional,NA
K21,2015,2015,Traditional,HRL lab
K5,2015,2015,Traditional,NA
K22,2015,2016,Traditional,NA
K6,2015,NA,NA,NA
K31,2015,NA,NA,NA
L22,2015,NA,NA,NA
L7,2015,2015,Traditional,NA
L10,2015,NA,NA,NA
L11,2015,2015,Traditional,NA
L8,2015,2016,Traditional,NA
L6,2015,2015,Traditional,NA
L9,2015,NA,NA,NA
M30,2015,2016,Traditional,Daniel Rospierski written with Babara Young for trainings but Maddie Rospierski written with Barbara Young on the hikes (possibly Maddie didn't have an email and used Daniel's?)
M31,2015,2015,Traditional,NA
M6,2015,2015,Traditional,NA
M5,2015,2015,Traditional,NA
M29,2015,2015,Traditional,NA
N6,2015,NA,NA,NA
S21,2015,2015,Traditional,NA
S8,2015,2015,Traditional,NA
S9,2015,2015,Traditional,NA
T4,2015,2015,Traditional,NA
A27,2016,NA,NA,NA
A11,2016,2016,Traditional,HRL lab
A9,2016,2016,Traditional,NA
A33,2016,NA,NA,NA
A10,2016,2016,Traditional,NA
B23,2016,2016,Traditional,NA
B8,2016,2016,Traditional,NA
B22,2016,2016,Traditional,NA
B21,2016,2016,Traditional,NA
C10,2016,NA,NA,registered 2016 but orientation says NA (does not say returner)
C21,2016,NA,NA,NA
C8,2016,2016,Traditional,NA
C9,2016,2016,Traditional,NA
C11,2016,2016,Traditional,NA
D24,2016,NA,NA,registered 2016 but orientation says NA (does not say returner)
D22,2016,2016,Traditional,NA
D11,2016,2016,Traditional,NA
D10,2016,2016,Traditional,NA
D27,2016,NA,NA,NA
D23,2016,NA,NA,NA
D26,2016,2016,Traditional,NA
D25,2016,2017,Traditional,NA
E4,2016,2016,Traditional,HRL lab
E14,2016,2015,Traditional,NA
E5,2016,2016,Traditional,NA
G7,2016,NA,NA,NA
G2,2016,2016,Traditional,NA
G3,2016,2016,Traditional,NA
H3,2016,NA,NA,NA
I1,2016,NA,NA,NA
J58,2016,2016,Traditional,HRL lab
J47,2016,2017,Traditional,2018 orientation says returning so assuming at least attened 2016
J17,2016,2016,Traditional,NA
J18,2016,2016,Traditional,NA
K23,2016,NA,NA,NA
K24,2016,2016,Traditional,NA
K18,2016,2016,Traditional,NA
K9,2016,2016,Traditional,NA
K8,2016,2016,Traditional,NA
K25,2016,NA,NA,NA
K32,2016,NA,NA,NA
K7,2016,2016,Traditional,NA
L17,2016,2016,Traditional,NA
L14,2016,2016,Traditional,NA
L16,2016,2016,Traditional,NA
L37,2016,2015,Traditional,NA
L36,2016,2016,Traditional,HRL lab
NA,2016,NA,NA,NA
L15,2016,2016,Traditional,NA
L13,2016,2016,Traditional,NA
L23,2016,2017,Traditional,NA
M9,2016,2016,Traditional,NA
M10,2016,2016,Traditional,NA
M15,2016,2016,Traditional,NA
M8,2016,2016,Traditional,NA
M53,2016,NA,NA,NA
M11,2016,NA,NA,NA
M7,2016,2016,Traditional,NA
M12,2016,2016,Traditional,NA
M17,2016,2016,Traditional,returning volunteer note (2017) says he has been volunteering since 2013 but no documented training date
N2,2016,2016,Traditional,NA
P2,2016,2016,Traditional,NA
P3,2016,2016,Traditional,NA
R16,2016,NA,NA,NA
S23,2016,2016,Traditional,NA
S22,2016,2016,Traditional,HRL lab
S10,2016,2016,Traditional,NA
S11,2016,2016,Traditional,NA
T10,2016,2016,Traditional,HRL lab
T11,2016,2016,Traditional,HRL lab
T16,2016,2016,Traditional,HRL lab
NA,2016,2015,Traditional,NA
Z1,2016,2016,Traditional,NA
A29,2017,NA,Traditional,NA
A14,2017,2017,Traditional,NA
A28,2017,NA,Traditional,NA
A16,2017,2018,Traditional,NA
A12,2017,2017,Traditional,NA
A13,2017,2017,Traditional,NA
T5,2017,2017,Traditional,NA
A15,2017,2017,Traditional,NA
B9,2017,2017,Traditional,HRL lab
B13,2017,2017,Traditional,NA
B12,2017,2017,Traditional,NA
B27,2017,NA,NA,NA
B10,2017,2017,Traditional,NA
B11,2017,2017,Traditional,NA
B25,2017,2017,Traditional,NA
B26,2017,NA,NA,"labeled as ""companion hiker"""
B14,2017,2017,Traditional,NA
B24,2017,NA,NA,NA
C23,2017,NA,NA,NA
D29,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
D13,2017,2017,Traditional,NA
D28,2017,2017,Traditional,NA
D12,2017,2017,Traditional,NA
D30,2017,2017,Traditional,NA
E6,2017,2017,Traditional,NA
E7,2017,2017,Traditional,NA
E15,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
F4,2017,2017,Traditional,NA
G11,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
G4,2017,2017,Traditional,NA
G8,2017,2017,Traditional,NA
G5,2017,2017,Traditional,"2018 orientation page says she was a returner but no recording of attending any orientations, assuming returning means she attneded 2017"
H4,2017,2017,Traditional,NA
I3,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
NA,2017,NA,NA,NA
J20,2017,2017,Traditional,NA
J26,2017,2017,Traditional,NA
J27,2017,2017,Traditional,NA
J24,2017,NA,NA,NA
J48,2017,2017,Traditional,NA
J50,2017,NA,NA,NA
J21,2017,2017,Traditional,NA
J23,2017,2017,Traditional,NA
J54,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
J60,2017,2017,Traditional,HRL lab
J51,2017,NA,NA,NA
J49,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
J59,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
J22,2017,2017,Traditional,NA
J19,2017,2017,Traditional,NA
J25,2017,2017,Traditional,HRL lab
K33,2017,NA,NA,NA
K35,2017,2016,Traditional,NA
K11,2017,2017,Traditional,NA
K10,2017,2017,Traditional,NA
K14,2017,2017,Traditional,NA
K13,2017,2017,Traditional,NA
K15,2017,2017,Traditional,NA
K27,2017,NA,NA,NA
K12,2017,2017,Traditional,HRL lab
K26,2017,2017,Traditional,HRL lab
L25,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
L24,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
M35,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
M32,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
M27,2017,2017,Traditional,NA
M33,2017,NA,NA,"labeled as ""companion hiker"""
M19,2017,2017,Traditional,NA
M18,2017,2017,Traditional,NA
M13,2017,2017,Traditional,NA
M34,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
M20,2017,2017,Traditional,NA
M37,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
M36,2017,2017,Traditional,HRL lab
M51,2017,NA,NA,NA
M14,2017,2017,Traditional,"2018 orientation page says she was a returner but no recording of attending any orientations, assuming returning means she attneded 2017"
M16,2017,2017,Traditional,NA
M38,2017,NA,NA,NA
N7,2017,2017,Traditional,NA
NA,2017,NA,NA,NA
P4,2017,2017,Traditional,NA
R7,2017,2017,Traditional,NA
R11,2017,2017,Traditional,NA
R8,2017,2017,Traditional,NA
R9,2017,2017,Traditional,NA
